	S06C001	S07C001	S08C001	S09C001	S14C001	S15C001	S16C001	S17C001	S18C001	S19C001	S20C001	S21C001	S22C001	S23C001	S24C001	S26C001	S28C001	S29C001	S30C001	S31C001	S32C001	S33C001	S34C001	S35C001	S37C001	S47C001	S49C001	S51C001	S52C001	S53C001	S54C001	S55C001	S56C001	S57C001	S58C001	S60C001	S61C001	S63C001	S64C001	S66C001	S67C001	S68C001	S69C001	S70C001
scaffold100|size16054	16.55630995390557	1.9953905568705619	17.686557867198207	10.243116980191852	0.9530335118973464	12.765977326522984	10.538931107512147	13.945621029027034	3.7804285536314937	17.00080976703625	17.880403637722686	1.0348822723308833	15.974212034383955	10.072256135542544	17.385511399028278	37.44587018811511	16.59156596486857	17.984988164943317	2.8625887629251277	9.636227731406503	21.64432540176903	22.086458203562977	8.542606204061293	8.329886632614924	1.3191105020555625	4.314625638470163	1.1864955774261867	2.1099414476143017	5.472903949171546	20.597670362526472	19.772330883268967	1.4999377102279805	12.908870063535568	3.753519372119098	17.17833561729164	35.49831817615547	21.961131182259873	24.450853369876665	6.1073875669615045	15.801544786346081	10.025787965616045	6.787654167185748	0.0	14.624330384950792
scaffold101|size16015	19.182141742116766	8.913581017795817	24.349547299406805	7.62972213549797	3.1638463940056196	9.806868560724322	9.867311895098345	22.805182641273806	5.556977833281299	23.175772713081486	14.920074929753357	1.4982204183577896	15.01642210427724	7.22635029659694	22.1966906025601	28.700593193880735	26.109709647205744	22.477302528879175	6.821604745551046	18.687355604121137	27.470683733999376	33.67386824851702	6.850452700593194	28.207930065563534	1.5236965344989073	7.66219169528567	1.231158289103965	18.634342803621603	5.034155479238215	26.067187012176085	27.03902591320637	2.123571651576647	15.43940056197315	4.996191070871058	33.14336559475492	43.02310334061817	24.96072432094911	26.985388698095534	6.062753668435842	19.492538245394943	14.1311270683734	12.74711208242273	0.0	17.053762098033094
scaffold102|size15970	20.271884783969945	12.68422041327489	21.40100187852223	7.185034439574202	5.588979336255479	11.61477770820288	6.833938634940513	24.433437695679398	5.566938008766437	23.901440200375703	13.130369442705073	0.9499686912961803	14.52686286787727	6.715403882279274	21.422667501565435	22.580275516593613	25.403005635566686	28.508891671884783	7.466374452097683	22.539699436443332	26.27608015028178	28.69248591108328	5.206386975579211	25.647589229805885	1.5077019411396368	6.632247964934252	1.3639323731997495	6.438008766437069	5.3155291170945524	25.03162179085786	25.173763306199124	1.0072010018785222	20.901314965560427	4.921916092673763	42.8463368816531	45.05911083281152	23.65929868503444	21.687413901064495	5.998434564809017	16.043581715716968	14.552536005009392	12.800125234815278	0.0	16.207764558547275
scaffold103|size15900	28.37433962264151	8.562955974842767	32.26245283018868	14.41251572327044	3.372704402515723	18.75861635220126	15.5537106918239	27.39578616352201	6.771509433962264	32.360817610062895	23.841132075471698	3.1840880503144655	24.83251572327044	11.632201257861635	34.46937106918239	48.16811320754717	37.641698113207546	36.96962264150943	5.18817610062893	20.205849056603775	38.46559748427673	35.80949685534591	10.639496855345913	21.152830188679246	2.0359119496855347	6.899119496855346	1.7452201257861635	4.143962264150943	5.405094339622641	30.212452830188678	26.286792452830188	2.7441509433962263	17.982012578616352	5.453207547169812	29.568993710691824	49.517735849056606	26.164716981132077	27.467735849056602	6.269685534591195	20.341572327044027	12.53245283018868	9.586477987421384	0.016352201257861635	14.647672955974842
scaffold104|size15868	19.87622888832871	6.878119485757499	25.93048903453491	10.672800604991178	1.5320771363750945	13.750378119485758	12.356188555583564	22.872258633728258	5.286236450718427	23.781825056717924	18.57556087723721	2.1862238467355684	16.533085455003782	8.558293420720949	22.70531888076632	31.249117721199898	25.186601966221325	25.836085202924124	3.8989160574741617	15.683892109906731	24.311507436349885	28.120052936728005	8.347932946811193	14.320015124779431	1.1552810688177464	5.798525334005546	0.9207839677338039	4.431686412906479	6.513801361230149	24.965717166624653	22.24313082934207	1.8770481472145197	14.224161835139904	4.066927148979078	25.890030249558862	40.374590370557094	26.026846483488782	24.071149483236702	5.932505671792287	16.756175951600706	13.352533400554575	9.047012856062516	0.0	15.642488026216284
scaffold105|size15809	20.671199949395913	3.8405338731102536	23.83471440318806	11.099753305079386	1.3543551141754697	13.266430514264027	12.920614839648302	16.059965842241763	4.2219621734455055	23.220697071288505	18.76709469289645	2.2390410525649944	20.76873932570055	9.437598836106016	26.518312353722564	41.53602378392055	26.24093870580049	25.326839142260738	3.3953444240622432	12.575494971218927	31.02991966601303	26.217787336327408	8.041558605857423	12.13865519640711	1.4792206970712884	5.32304383578974	1.9779239673603644	1.2824340565500665	4.571320134100828	21.917831614902905	22.664431652855967	2.5594914289328865	14.757416661395407	4.72212031121513	24.35068631792017	40.98349041685116	24.272439749509772	27.64437978366753	6.436523499272567	18.023910430767284	10.265228667214878	8.457777215510152	0.0	13.280662913530268
scaffold106|size15427	12.742658974525183	3.088675698450768	15.607960070007131	7.0663123095870874	1.6235820315032086	11.688922019835353	7.241200492642769	13.690088805341285	2.2580540610617748	11.783302002981785	14.102093731768976	1.3664354702793804	10.360082971413755	6.292150126401763	14.077267129059441	22.064302845660205	15.532767226291567	14.677967200363	2.9034160886756983	9.029623387567252	19.064302845660205	18.324625656316847	6.255007454462954	11.539573475076166	1.0406430284566022	2.859337525118299	0.5565566863291631	10.24865495559733	4.4048097491411164	16.974395540286512	14.68542166331756	1.3093926233227458	11.638555778829325	3.3119854800025927	13.333830297530303	27.481169378362612	15.076165164970506	13.993258572632397	3.453749918973229	12.236338886368056	8.332922797692358	5.4358592078822845	0.0	12.016334997083037
scaffold107|size15344	14.464481230448383	12.431438998957248	22.98051355578728	5.1193952033368095	2.8764989572471324	8.342153284671532	5.438282064650678	31.614963503649633	5.44825338894682	32.81745307612096	12.49628519290928	0.9917883211678832	9.890641293013555	5.7805005213764336	20.541123566214807	10.639403023983316	18.341762252346193	27.363725234619395	8.434306569343066	20.802724191866528	22.53910323253389	30.336548488008344	5.470151199165798	26.2156543274244	1.2610140771637122	7.524048488008342	0.7767857142857143	66.50566996871741	4.091240875912408	27.542361835245046	21.720542231491137	0.8109358706986444	18.05604796663191	8.39859228362878	44.89852711157456	55.52945776850886	27.02300573514077	24.485596976016684	4.392857142857143	14.838829509906152	22.415211157455683	14.131321689259645	0.0	21.668534932221064
scaffold108|size15110	13.252084712111184	4.794109861019193	16.611118464592984	5.739046988749172	1.5462607544672402	12.057445400397087	7.227465254798147	13.64712111184646	2.8814030443414955	18.77425545996029	12.530972865651886	0.6150231634679021	15.737061548643283	7.132362673726009	23.19629384513567	28.74010589013898	27.884645929847782	26.703706154864328	2.810191925876903	11.428127068166777	24.797021839841165	17.438054268696227	6.986962276637988	12.694573130377234	0.8069490403706154	3.5935804103242885	0.44811383189940435	4.327399073461284	3.4103904698874916	18.06360026472535	15.89470549305096	0.9510919920582396	13.068828590337525	2.670814030443415	18.00509596293845	28.78457974851092	14.933553937789544	16.31363335539378	3.3690933156849767	11.325943084050298	6.862144275314361	5.153275976174719	0.0	10.071740569159497
scaffold109|size14978	19.03404993991187	12.772199225530779	23.936306582988383	7.427360128188009	5.145146214447857	14.562825477366804	7.662571771932167	32.98250767792763	5.993123247429564	25.262117772733344	15.696755241020163	1.1727867539057284	13.338763519829083	6.566230471357992	25.385231673120575	22.6854720256376	26.926959540659634	24.189344371745225	6.47990385899319	24.035518760849246	22.9845106155695	27.831953531846708	7.566230471357992	25.711977567098412	1.3186006142342102	8.093403658699426	0.6629055948724797	9.21251168380291	4.010014688209374	25.507410869274935	26.573240753104553	1.303645346508212	11.985578848978502	4.3161970890639605	33.86974228869008	37.35024702897583	23.581118974495926	19.54847109093337	4.032647883562558	12.644211510214982	18.923688075844574	9.763252770730405	0.0	14.989785018026438
