name	scaffold_idx	length	gene_idx	S06C001	S07C001	S08C001	S09C001	S14C001	S15C001	S16C001	S17C001	S18C001	S19C001	S20C001	S21C001	S22C001	S23C001	S24C001	S26C001	S28C001	S29C001	S30C001	S31C001	S32C001	S33C001	S34C001	S35C001	S37C001	S47C001	S49C001	S51C001	S52C001	S53C001	S54C001	S55C001	S56C001	S57C001	S58C001	S60C001	S61C001	S63C001	S64C001	S66C001	S67C001	S68C001	S69C001	S70C001
scaffold1|size70376_1	1	70376	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	4	0	1	0
scaffold1|size70376_10	1	70376	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4
scaffold1|size70376_100	1	70376	100	0	2	2	1	3	0	3	2	0	0	3	0	0	0	0	2	0	2	0	2	0	2	2	0	3	0	1	0	0	2	2	0	0	1	0	0	0	0	1	0	0	0	0	4
scaffold1|size70376_101	1	70376	101	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
scaffold1|size70376_103	1	70376	103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0
scaffold1|size70376_104	1	70376	104	1	0	4	0	2	0	3	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	3	2	1	2	0	0	1	1	0	0	0	1	0	0	0	0
scaffold1|size70376_105	1	70376	105	1	4	5	3	0	3	1	2	6	3	8	2	0	1	2	4	1	1	0	2	4	1	11	2	3	1	0	0	1	0	0	7	4	0	0	1	5	2	1	0	5	4	5	14
scaffold1|size70376_11	1	70376	11	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	2	1	2	1	0	1	0	0	2	1	0	0	0	0	0	1
scaffold1|size70376_12	1	70376	12	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scaffold1|size70376_13	1	70376	13	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
scaffold1|size70376_14	1	70376	14	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2
scaffold1|size70376_15	1	70376	15	1	4	5	3	3	1	2	4	3	5	1	0	1	1	1	4	1	0	0	2	1	2	2	0	2	3	1	2	0	1	10	4	3	1	1	2	8	0	2	1	1	8	7	8
scaffold1|size70376_16	1	70376	16	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0
scaffold1|size70376_17	1	70376	17	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2
scaffold1|size70376_18	1	70376	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
scaffold1|size70376_19	1	70376	19	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
scaffold1|size70376_2	1	70376	2	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
scaffold1|size70376_20	1	70376	20	1	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2
scaffold1|size70376_21	1	70376	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scaffold1|size70376_22	1	70376	22	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
scaffold1|size70376_23	1	70376	23	1	2	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	2	0	0	0	2	0	0	3	0	0	1	0	3
scaffold1|size70376_24	1	70376	24	0	2	2	2	1	0	0	0	1	3	3	0	3	1	0	1	0	0	0	1	2	1	2	2	0	0	0	0	1	0	0	5	3	0	1	0	2	1	2	2	0	2	2	4
scaffold1|size70376_25	1	70376	25	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	0	0	0
scaffold1|size70376_26	1	70376	26	1	0	0	3	1	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	2
scaffold1|size70376_27	1	70376	27	0	0	3	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	2	0	0	0	0	0	2
scaffold1|size70376_28	1	70376	28	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	1
scaffold1|size70376_29	1	70376	29	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	1	2	5
scaffold1|size70376_3	1	70376	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
scaffold1|size70376_31	1	70376	31	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
scaffold1|size70376_32	1	70376	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scaffold1|size70376_33	1	70376	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	1
scaffold1|size70376_34	1	70376	34	0	2	0	1	1	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	1	5	4	0	1	1	0	1	1
scaffold1|size70376_35	1	70376	35	1	3	1	1	1	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	0	1	0	0	5
scaffold1|size70376_36	1	70376	36	3	3	2	2	0	4	3	2	7	1	8	1	2	0	1	2	0	0	0	1	2	1	5	1	2	3	0	0	0	3	5	2	1	0	1	1	3	6	7	1	1	5	2	7
scaffold1|size70376_37	1	70376	37	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
scaffold1|size70376_38	1	70376	38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
scaffold1|size70376_39	1	70376	39	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3
scaffold1|size70376_4	1	70376	4	1	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1
scaffold1|size70376_40	1	70376	40	0	1	3	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	3	0	1	0	1	1	2	1
scaffold1|size70376_41	1	70376	41	0	1	3	0	2	0	1	0	0	1	1	2	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	2	1	1	2	1	0	0	1	3	1	3	0	1	1	2	6
scaffold1|size70376_42	1	70376	42	1	1	0	1	3	1	2	4	1	4	4	0	0	1	1	2	1	0	0	1	0	0	4	0	0	3	2	1	0	0	4	1	2	0	0	1	1	2	0	0	1	1	1	1
scaffold1|size70376_43	1	70376	43	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	0
scaffold1|size70376_44	1	70376	44	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
scaffold1|size70376_45	1	70376	45	1	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	1	0	4	1	0	0	2	0	0	0	0	0	0	3
scaffold1|size70376_46	1	70376	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scaffold1|size70376_47	1	70376	47	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	1	1	2	0	1	1	0	1
