Standard	Time	Time2	Time3
S06C001.0015_S1	4	06:00:00 AM	6
S07C001.0015_S2	8	10:00:00 AM	10
S08C001.0015_S3	12	02:00:00 PM	14
S09C001.0015_S4	16	06:00:00 PM	18
S14C001.0015_S5	20	10:00:00 PM	22
S15C001.0015_S6	24	02:00:00 AM	2
S16C001.0015_S7	28	06:00:00 AM	6
S17C001.0015_S8	32	10:00:00 AM	10
S18C001.0015_S9	36	02:00:00 PM	14
S19C001.0015_S10	40	06:00:00 PM	18
S20C001.0015_S11	44	10:00:00 PM	22
S21C001.0015_S12	48	02:00:00 AM	2
S22C001.0015_S13	52	06:00:00 AM	6
S23C001.0015_S14	56	10:00:00 AM	10
S24C001.0015_S15	60	02:00:00 PM	14
S26C001.0015_S16	64	06:00:00 PM	18
S28C001.0015_S17	68	10:00:00 PM	22
S29C001.0015_S18	72	02:00:00 AM	2
S30C001.0015_S19	76	06:00:00 AM	6
S31C001.0015_S20	80	10:00:00 AM	10
S32C001.0015_S21	84	02:00:00 PM	14
S33C001.0015_S22	88	06:00:00 PM	18
S34C001.0015_S1	92	10:00:00 PM	22
S35C001.0015_S2	96	02:00:00 AM	2
S37C001.0015_S3	100	06:00:00 AM	6
S47C001.0015_S4	136	06:00:00 PM	18
S49C001.0015_S5	140	10:00:00 PM	22
S51C001.0015_S6	144	02:00:00 AM	2
S52C001.0015_S7	148	06:00:00 AM	6
S53C001.0015_S8	152	10:00:00 AM	10
S54C001.0015_S9	156	02:00:00 PM	14
S55C001.0015_S10	160	06:00:00 PM	18
S56C001.0015_S11	164	10:00:00 PM	22
S57C001.0015_S12	168	02:00:00 AM	2
S58C001.0015_S13	172	06:00:00 AM	6
S60C001.0015_S14	176	10:00:00 AM	10
S61C001.0015_S15	180	02:00:00 PM	14
S63C001.0015_S16	184	06:00:00 PM	18
S64C001.0015_S17	188	10:00:00 PM	22
S66C001.0015_S18	192	02:00:00 AM	2
S67C001.0015_S19	196	06:00:00 AM	6
S68C001.0015_S20	200	10:00:00 AM	10
S69C001.0015_S21	204	02:00:00 PM	14
S70C001.0015_S22	208	06:00:00 PM	18
