scaffold_full	Final_Group	group_idx	scaffold_idx	length
scaffold1|size70376	VG1	1	1	160000
scaffold2|size68964	scaffold2|size68964	2	2	68964
scaffold3|size57845	scaffold3|size57845	3	3	57845
scaffold4|size54391	scaffold4|size54391	4	4	54391
scaffold5|size51494	scaffold5|size51494	5	5	51494
scaffold6|size43974	VG1	1	6	160000
scaffold7|size43665	scaffold7|size43665	7	7	43665
scaffold8|size41205	scaffold8|size41205	8	8	41205
scaffold9|size40844	scaffold9|size40844	9	9	40844
scaffold10|size39744	scaffold10|size39744	10	10	39744
scaffold11|size39219	scaffold11|size39219	11	11	39219
scaffold12|size37975	VG1	1	12	160000
scaffold13|size35890	scaffold13|size35890	13	13	35890
scaffold14|size35649	scaffold14|size35649	14	14	35649
scaffold15|size34769	scaffold15|size34769	15	15	34769
scaffold16|size34431	scaffold16|size34431	16	16	34431
scaffold17|size34077	scaffold17|size34077	17	17	34077
scaffold18|size34068	scaffold18|size34068	18	18	34068
scaffold19|size33814	scaffold19|size33814	19	19	33814
scaffold20|size32169	scaffold20|size32169	20	20	32169
scaffold21|size32028	scaffold21|size32028	21	21	32028
scaffold22|size31824	scaffold22|size31824	22	22	31824
scaffold23|size30926	scaffold23|size30926	23	23	30926
scaffold24|size30339	scaffold24|size30339	24	24	30339
scaffold25|size29927	scaffold25|size29927	25	25	29927
scaffold26|size29251	scaffold26|size29251	26	26	29251
scaffold27|size29202	scaffold27|size29202	27	27	29202
scaffold28|size28336	scaffold28|size28336	28	28	28336
scaffold29|size28000	scaffold29|size28000	29	29	28000
scaffold30|size27949	scaffold30|size27949	30	30	27949
scaffold31|size27846	scaffold31|size27846	31	31	27846
scaffold32|size26810	scaffold32|size26810	32	32	26810
scaffold33|size26389	scaffold33|size26389	33	33	26389
scaffold34|size26379	scaffold34|size26379	34	34	26379
scaffold35|size26017	scaffold35|size26017	35	35	26017
scaffold36|size25952	scaffold36|size25952	36	36	25952
scaffold37|size25828	scaffold37|size25828	37	37	25828
scaffold38|size25810	scaffold38|size25810	38	38	25810
scaffold39|size25020	scaffold39|size25020	39	39	25020
scaffold40|size24419	scaffold40|size24419	40	40	24419
scaffold41|size24277	scaffold41|size24277	41	41	24277
scaffold42|size24121	scaffold42|size24121	42	42	24121
scaffold43|size24068	scaffold43|size24068	43	43	24068
scaffold44|size23999	scaffold44|size23999	44	44	23999
scaffold45|size23869	scaffold45|size23869	45	45	23869
scaffold46|size23707	scaffold46|size23707	46	46	23707
scaffold47|size23510	scaffold47|size23510	47	47	23510
scaffold48|size23468	scaffold48|size23468	48	48	23468
scaffold49|size23370	scaffold49|size23370	49	49	23370
scaffold50|size23177	scaffold50|size23177	50	50	23177
scaffold51|size22880	scaffold51|size22880	51	51	22880
scaffold52|size22818	scaffold52|size22818	52	52	22818
scaffold53|size22706	scaffold53|size22706	53	53	22706
scaffold54|size22665	scaffold54|size22665	54	54	22665
scaffold55|size22624	scaffold55|size22624	55	55	22624
scaffold56|size22492	scaffold56|size22492	56	56	22492
scaffold57|size22358	scaffold57|size22358	57	57	22358
scaffold58|size21890	scaffold58|size21890	58	58	21890
scaffold59|size21604	scaffold59|size21604	59	59	21604
scaffold60|size26940	scaffold60|size26940	60	60	26940
scaffold61|size21296	scaffold61|size21296	61	61	21296
scaffold62|size21290	scaffold62|size21290	62	62	21290
scaffold63|size21131	scaffold63|size21131	63	63	21131
scaffold64|size21063	scaffold64|size21063	64	64	21063
scaffold65|size20961	scaffold65|size20961	65	65	20961
scaffold66|size20808	scaffold66|size20808	66	66	20808
scaffold67|size20689	scaffold67|size20689	67	67	20689
scaffold68|size20460	scaffold68|size20460	68	68	20460
scaffold69|size20158	scaffold69|size20158	69	69	20158
scaffold70|size20074	scaffold70|size20074	70	70	20074
scaffold71|size19786	scaffold71|size19786	71	71	19786
scaffold72|size19667	scaffold72|size19667	72	72	19667
scaffold73|size19655	scaffold73|size19655	73	73	19655
scaffold74|size19487	scaffold74|size19487	74	74	19487
scaffold75|size19149	scaffold75|size19149	75	75	19149
scaffold76|size19088	scaffold76|size19088	76	76	19088
scaffold77|size18956	scaffold77|size18956	77	77	18956
scaffold78|size18738	scaffold78|size18738	78	78	18738
scaffold79|size18396	scaffold79|size18396	79	79	18396
scaffold80|size18052	scaffold80|size18052	80	80	18052
scaffold81|size17724	scaffold81|size17724	81	81	17724
scaffold82|size17697	scaffold82|size17697	82	82	17697
scaffold83|size17577	scaffold83|size17577	83	83	17577
scaffold84|size17492	scaffold84|size17492	84	84	17492
scaffold85|size17456	scaffold85|size17456	85	85	17456
scaffold86|size17364	scaffold86|size17364	86	86	17364
scaffold87|size17269	scaffold87|size17269	87	87	17269
scaffold88|size17085	scaffold88|size17085	88	88	17085
scaffold89|size16912	scaffold89|size16912	89	89	16912
scaffold90|size16900	scaffold90|size16900	90	90	16900
scaffold91|size16880	scaffold91|size16880	91	91	16880
scaffold92|size16745	scaffold92|size16745	92	92	16745
scaffold93|size16542	scaffold93|size16542	93	93	16542
scaffold94|size16502	scaffold94|size16502	94	94	16502
scaffold95|size16245	scaffold95|size16245	95	95	16245
scaffold96|size16237	scaffold96|size16237	96	96	16237
scaffold97|size16161	scaffold97|size16161	97	97	16161
scaffold98|size16154	scaffold98|size16154	98	98	16154
scaffold99|size16095	scaffold99|size16095	99	99	16095
scaffold100|size16054	scaffold100|size16054	100	100	16054
scaffold101|size16015	scaffold101|size16015	101	101	16015
scaffold102|size15970	scaffold102|size15970	102	102	15970
scaffold103|size15900	scaffold103|size15900	103	103	15900
scaffold104|size15868	scaffold104|size15868	104	104	15868
scaffold105|size15809	scaffold105|size15809	105	105	15809
scaffold106|size15427	scaffold106|size15427	106	106	15427
scaffold107|size15344	scaffold107|size15344	107	107	15344
scaffold108|size15110	scaffold108|size15110	108	108	15110
scaffold109|size14978	scaffold109|size14978	109	109	14978
scaffold110|size14969	scaffold110|size14969	110	110	14969
scaffold111|size14875	scaffold111|size14875	111	111	14875
scaffold112|size14848	scaffold112|size14848	112	112	14848
scaffold113|size14713	scaffold113|size14713	113	113	14713
scaffold114|size14627	scaffold114|size14627	114	114	14627
scaffold115|size14509	scaffold115|size14509	115	115	14509
scaffold116|size14483	scaffold116|size14483	116	116	14483
scaffold117|size14473	scaffold117|size14473	117	117	14473
scaffold118|size14407	scaffold118|size14407	118	118	14407
scaffold119|size14406	scaffold119|size14406	119	119	14406
scaffold120|size14250	scaffold120|size14250	120	120	14250
scaffold121|size14236	scaffold121|size14236	121	121	14236
