cruise	cruise_index	scaffold	scaffold_index	size	num_hits	percid
HOT238	12	VS87	32	17.269	85.4941275879	88.4232
HOT238	12	VS86	98	17.364	20775.0730039	93.9449711934
HOT238	12	VS85	3	17.456	2291.24261936	100.0
HOT238	12	VS84	33	17.492	598.458893115	89.2629142857
HOT238	12	VS82	4	17.697	119.691778623	96.041
HOT238	12	VS81	99	17.724	12892.5144403	95.1968832891
HOT238	12	VS80	75	18.052	478.767114492	93.6639642857
HOT238	12	VS89	66	16.912	4326.00285595	92.3511976285
HOT238	12	VS88	31	17.085	1419.20251796	91.0672168675
HOT234	9	VS101	25	16.015	6148.04656871	90.7649891068
HOT234	9	VS107	21	15.344	455.410856941	100.0
HOT237	11	VS59	8	21.604	22.8247984222	83.784
HOT237	11	VS58	100	21.89	17015.8872238	97.397767941
HOT237	11	VS57	44	22.358	125.536391322	95.4727272727
HOT237	11	VS56	45	22.492	388.021573178	92.7505294118
HOT237	11	VS54	47	22.665	125.536391322	88.4372727273
HOT237	11	VS53	48	22.706	2179.76824932	80.9279528796
HOT237	11	VS52	49	22.818	433.671170022	97.5120526316
HOT237	11	VS51	9	22.88	308.1347787	92.1435925926
HOT234	9	VS71	37	19.786	2866.40951134	98.3480560748
HOT232	7	VS9	59	40.844	372.301751858	86.1893243243
HOT232	7	VS4	62	54.391	84089.8848723	100.0
HOT232	7	VS5	61	51.494	4920.42045023	100.0
HOT232	7	VS7	70	43.665	4930.48265974	96.3179102041
HOT232	7	VS2	64	68.964	10.0622095097	62.069
HOT232	7	VS3	63	57.845	22378.3539495	100.0
HOT234	9	VS68	40	20.46	1406.41588173	91.5891047619
HOT234	9	VS65	89	20.961	92769.8704463	96.2326947733
HOT234	9	VS64	6	21.063	723.299596318	94.7344444444
HOT234	9	VS67	41	20.689	10594.9996424	92.6612819216
HOT234	9	VS66	42	20.808	2692.28183074	84.2765174129
HOT234	9	VS61	90	21.296	13957.0033216	100.0
HOT234	9	VS60	102	26.94	142141.765114	96.8703825858
HOT234	9	VS63	7	21.131	308.072050284	91.8423478261
