cruise	cruise_index	scaffold	scaffold_index	size	num_hits	percid
HOT238	12	VS86	98	17.364	13781.6533672	95.0512406948
HOT238	12	VS85	3	17.456	4548.28758768	97.3958684211
HOT238	12	VS82	4	17.697	632.656544151	92.8055405405
HOT238	12	VS81	99	17.724	13986.8392734	93.3672885086
HOT234	9	VS71	37	19.786	3013.74831799	92.6363866667
HOT224	1	VS9	59	40.844	90.5876215186	89.7845
HOT234	9	VS88	31	17.085	4393.37532579	93.8989908537
HOT229	5	VS41	79	24.277	32.945282383	88.0
HOT231	6	VS93	73	16.542	6076.84336067	96.685455665
HOT234	9	VS107	21	15.344	562.566352692	99.6934761905
HOT238	12	VS54	47	22.665	188.087080693	92.4448181818
HOT229	5	VS38	54	25.81	7626.83287166	94.7607667387
HOT238	12	VS84	33	17.492	85.4941275879	98.0118
HOT234	9	VS108	20	15.11	696.510722381	94.3583846154
HOT229	5	VS30	104	27.949	60668.7375083	90.7897863155
HOT229	5	VS31	103	27.846	160295.271434	92.8541374987
HOT229	5	VS32	14	26.81	675.378288851	92.7547317073
HOT229	5	VS34	13	26.379	181.199053106	97.7340909091
HOT229	5	VS37	81	25.828	807.159418383	90.7829591837
HOT234	9	VS72	5	19.667	1486.78250354	94.0710810811
HOT234	9	VS73	77	19.655	616.144100568	94.2354130435
HOT234	9	VS70	38	20.074	40.1833109066	85.6243333333
HOT234	9	VS79	86	18.396	5304.19703967	91.7793838384
HOT233	8	VS53	48	22.706	57.6462513861	90.56075
HOT233	8	VS52	49	22.818	691.755016633	94.1854166667
HOT233	8	VS51	9	22.88	158.527191312	93.3794545455
HOT233	8	VS50	91	23.177	8877.52271345	93.0625957792
HOT233	8	VS57	44	22.358	807.047519405	96.9125535714
HOT233	8	VS56	45	22.492	2190.55755267	96.4586315789
HOT233	8	VS54	47	22.665	432.346885395	90.6495333333
HOT233	8	VS59	8	21.604	115.292502772	88.659
HOT233	8	VS58	100	21.89	95966.5969949	94.6704769485
HOT231	6	VS43	78	24.068	3517.38470383	92.8008595745
HOT229	5	VS100	26	16.054	164.726411915	95.7181
HOT234	9	VS10	96	39.744	76897.4626382	93.1581334262
HOT229	5	VS21	94	32.028	12996.9139001	91.5840443599
HOT238	12	VS89	66	16.912	1897.96963245	97.7767477477
HOT234	9	VS17	95	34.077	1151.92157932	97.310872093
HOT238	12	VS32	14	26.81	410.371812422	93.7067083333
HOT225	2	VG1	107	164.235	169839.257879	95.4941200135
HOT229	5	VS103	1	15.9	31199.1824167	87.9179862724
HOT229	5	VS102	71	15.97	98.835847149	100.0
HOT229	5	VS101	25	16.015	131.781129532	89.272875
HOT229	5	VS106	22	15.427	922.467906724	92.8106964286
HOT229	5	VS105	23	15.809	3805.18011524	86.8956623377
HOT229	5	VS104	24	15.868	3063.91126162	89.7317258065
HOT229	5	VS108	20	15.11	2026.13486655	94.0892764228
